Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Education, Language Spoken and Literacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Highest Qualification Attained (HQA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Residents Aged 25 Years & Over By Highest Qualification Attained, Sex And Age Group, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 03/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number
Total- Secondary,492200,492600,484300,503700,511200,488800,500400,519200,502500,501200,499800,510900,490600,566400,555800,535500,529800,487800,503300,516300,528300,511700,496900,501900,493300,470600,475400,488400,438900,417700,408800,397300,382500
  25 - 29 Years,11300,14600,15900,17700,20600,18300,20300,19600,21500,23300,23700,28400,29700,40100,37100,39800,42000,39000,45300,48400,56700,64300,60100,72800,69300,78200,80200,78700,84500,81500,92700,95400,110800
  30 - 34 Years,21300,21800,20800,22900,24200,23900,25500,28100,27700,32800,31400,34400,37300,49500,48900,54800,57700,56500,64600,75500,79200,81800,76200,89500,92400,92600,99000,103100,100400,99400,104000,102400,101100
  35 - 39 Years,26800,28600,28800,32100,31900,35500,32700,38900,34500,38500,43400,47700,52300,70500,72500,73400,75200,74500,80100,86900,93200,93400,96000,100100,103000,100400,103400,102500,93500,84800,79800,76600,72600
  40 - 44 Years,33900,31000,34100,38000,41200,46000,49800,54600,51200,57700,66000,66300,67300,88600,87300,89900,89100,88200,91700,97300,102100,97900,94000,90600,90100,79300,80500,85400,69700,68900,62300,58800,47400
  45 - 49 Years,46600,47400,49400,54700,61400,61800,63000,68000,66400,76200,78900,82900,85000,95100,96600,100300,96700,84100,85900,80800,78400,72200,73300,69800,68400,60000,56700,55300,42100,35900,27700,23100,20400
  50 - 54 Years,56200,54900,64500,73900,78000,74000,82000,85500,88000,87600,85400,89700,82300,87700,86100,73700,73300,66200,62100,57400,57300,53700,47300,38900,35500,25800,21900,24800,19500,19500,17800,17500,13000
  55 - 59 Years,72000,72600,79000,85500,83100,76900,83600,83500,81600,71700,70400,72000,62600,63600,61100,52400,51600,42500,36000,32300,27900,19600,19700,17300,15600,15800,15300,17400,11900,11400,9900,9600,6700
  60 - 64 Years,79900,81500,77200,73600,71900,64900,65700,68500,63700,56200,53500,48000,40800,36200,32700,23800,19000,17200,16900,17500,15200,13500,13300,10900,8500,7500,8000,8700,6900,7300,6200,5900,3900
  65 Years & Over,144100,140100,114800,105300,98900,87600,78000,72600,68000,57200,46900,41500,33300,35200,33400,27300,25200,19500,20600,20100,18200,15400,16800,12000,10500,11000,10400,12500,10400,8900,8300,8000,6600
Total - Post Secondary (Non-Tertiary),308000,281300,296900,265900,260700,253500,249800,250500,238000,232400,239400,230300,244800,144200,159200,154500,152100,210700,146200,146600,145500,139400,185300,135900,132100,129300,127300,146100,120000,111600,108500,100400,76700
  25 - 29 Years,19900,21900,29000,22800,24700,24400,26200,25200,23300,23200,24700,24500,29700,14000,17100,18500,15800,24100,16300,17400,18900,21900,33500,25400,25900,28500,28000,32800,28300,24800,25500,24000,18300
  30 - 34 Years,23500,27700,29000,24500,22900,23500,23100,22000,23700,22000,22400,23700,27800,12700,15100,19000,21700,33300,23600,25700,28000,27300,34700,25200,24800,24900,23600,29000,23800,22700,23300,23800,20600
  35 - 39 Years,25600,24300,27200,22500,24300,22700,21800,26000,22200,22200,27500,32400,38000,21100,25100,25100,25600,36400,24200,23900,25900,22400,30000,23600,24100,22300,22400,28200,22400,20700,19700,19000,16000
